PyTorch 1.10.2
Torchvision 0.11.3
Torchattacks 3.2.4
Numpy 1.21.5
device cuda
Corruptions ['gaussian_noise', 'shot_noise', 'impulse_noise', 'defocus_blur', 'glass_blur', 'motion_blur', 'zoom_blur', 'snow', 'frost', 'fog', 'brightness', 'contrast', 'elastic_transform', 'pixelate', 'jpeg_compression', 'speckle_noise', 'gaussian_blur', 'spatter', 'saturate']
Files already downloaded and verified


Trained 8.0-robust model, shot_noise, Test Loss 0.002, Test Error 19.814
Trained 8.0-robust model, impulse_noise, Test Loss 0.003, Test Error 26.300
Trained 8.0-robust model, defocus_blur, Test Loss 0.003, Test Error 20.726
Trained 8.0-robust model, glass_blur, Test Loss 0.003, Test Error 22.462
Trained 8.0-robust model, motion_blur, Test Loss 0.003, Test Error 24.392
Trained 8.0-robust model, zoom_blur, Test Loss 0.003, Test Error 21.416
Trained 8.0-robust model, snow, Test Loss 0.003, Test Error 22.104
Trained 8.0-robust model, frost, Test Loss 0.003, Test Error 26.812
Trained 8.0-robust model, fog, Test Loss 0.005, Test Error 41.514
Trained 8.0-robust model, brightness, Test Loss 0.002, Test Error 19.968
Trained 8.0-robust model, contrast, Test Loss 0.008, Test Error 57.542
Trained 8.0-robust model, elastic_transform, Test Loss 0.003, Test Error 21.708
Trained 8.0-robust model, pixelate, Test Loss 0.002, Test Error 18.296
Trained 8.0-robust model, jpeg_compression, Test Loss 0.002, Test Error 18.214
Trained 8.0-robust model, speckle_noise, Test Loss 0.002, Test Error 20.084
Trained 8.0-robust model, gaussian_blur, Test Loss 0.003, Test Error 22.840
Trained 8.0-robust model, spatter, Test Loss 0.002, Test Error 20.836
Trained 8.0-robust model, saturate, Test Loss 0.002, Test Error 20.512


Trained 9.0-robust model, gaussian_noise, Test Loss 0.003, Test Error 21.750
Trained 9.0-robust model, shot_noise, Test Loss 0.003, Test Error 21.066
Trained 9.0-robust model, impulse_noise, Test Loss 0.003, Test Error 26.390
Trained 9.0-robust model, defocus_blur, Test Loss 0.003, Test Error 22.136
Trained 9.0-robust model, glass_blur, Test Loss 0.003, Test Error 23.502
Trained 9.0-robust model, motion_blur, Test Loss 0.003, Test Error 25.704
Trained 9.0-robust model, zoom_blur, Test Loss 0.003, Test Error 22.924
Trained 9.0-robust model, snow, Test Loss 0.003, Test Error 23.740
Trained 9.0-robust model, frost, Test Loss 0.003, Test Error 29.024
Trained 9.0-robust model, fog, Test Loss 0.005, Test Error 42.878
Trained 9.0-robust model, brightness, Test Loss 0.003, Test Error 21.950
Trained 9.0-robust model, contrast, Test Loss 0.008, Test Error 58.566
Trained 9.0-robust model, elastic_transform, Test Loss 0.003, Test Error 23.202
Trained 9.0-robust model, pixelate, Test Loss 0.002, Test Error 19.696
Trained 9.0-robust model, jpeg_compression, Test Loss 0.002, Test Error 19.558
Trained 9.0-robust model, speckle_noise, Test Loss 0.003, Test Error 21.266
Trained 9.0-robust model, gaussian_blur, Test Loss 0.003, Test Error 24.010
Trained 9.0-robust model, spatter, Test Loss 0.003, Test Error 22.004
Trained 9.0-robust model, saturate, Test Loss 0.003, Test Error 21.930


Trained 10.0-robust model, gaussian_noise, Test Loss 0.003, Test Error 23.336
Trained 10.0-robust model, shot_noise, Test Loss 0.003, Test Error 22.550
Trained 10.0-robust model, impulse_noise, Test Loss 0.003, Test Error 27.026
Trained 10.0-robust model, defocus_blur, Test Loss 0.003, Test Error 23.610
Trained 10.0-robust model, glass_blur, Test Loss 0.003, Test Error 25.168
Trained 10.0-robust model, motion_blur, Test Loss 0.003, Test Error 27.422
Trained 10.0-robust model, zoom_blur, Test Loss 0.003, Test Error 24.426
Trained 10.0-robust model, snow, Test Loss 0.003, Test Error 24.892
Trained 10.0-robust model, frost, Test Loss 0.004, Test Error 30.896
Trained 10.0-robust model, fog, Test Loss 0.005, Test Error 44.558
Trained 10.0-robust model, brightness, Test Loss 0.003, Test Error 23.500
Trained 10.0-robust model, contrast, Test Loss 0.008, Test Error 59.584
Trained 10.0-robust model, elastic_transform, Test Loss 0.003, Test Error 25.076
Trained 10.0-robust model, pixelate, Test Loss 0.003, Test Error 21.376
Trained 10.0-robust model, jpeg_compression, Test Loss 0.003, Test Error 21.406
Trained 10.0-robust model, speckle_noise, Test Loss 0.003, Test Error 22.720
Trained 10.0-robust model, gaussian_blur, Test Loss 0.003, Test Error 25.544
Trained 10.0-robust model, spatter, Test Loss 0.003, Test Error 23.690
Trained 10.0-robust model, saturate, Test Loss 0.003, Test Error 23.478


Trained 11.0-robust model, gaussian_noise, Test Loss 0.003, Test Error 25.510
Trained 11.0-robust model, shot_noise, Test Loss 0.003, Test Error 24.770
Trained 11.0-robust model, impulse_noise, Test Loss 0.003, Test Error 28.740
Trained 11.0-robust model, defocus_blur, Test Loss 0.003, Test Error 25.572
Trained 11.0-robust model, glass_blur, Test Loss 0.003, Test Error 27.140
Trained 11.0-robust model, motion_blur, Test Loss 0.004, Test Error 28.780
Trained 11.0-robust model, zoom_blur, Test Loss 0.003, Test Error 26.016
Trained 11.0-robust model, snow, Test Loss 0.003, Test Error 27.046
Trained 11.0-robust model, frost, Test Loss 0.004, Test Error 33.102
Trained 11.0-robust model, fog, Test Loss 0.006, Test Error 45.464
Trained 11.0-robust model, brightness, Test Loss 0.003, Test Error 25.526
Trained 11.0-robust model, contrast, Test Loss 0.008, Test Error 59.922
Trained 11.0-robust model, elastic_transform, Test Loss 0.003, Test Error 26.772
Trained 11.0-robust model, pixelate, Test Loss 0.003, Test Error 23.508
Trained 11.0-robust model, jpeg_compression, Test Loss 0.003, Test Error 23.528
Trained 11.0-robust model, speckle_noise, Test Loss 0.003, Test Error 25.046
Trained 11.0-robust model, gaussian_blur, Test Loss 0.003, Test Error 27.266
Trained 11.0-robust model, spatter, Test Loss 0.003, Test Error 25.458
Trained 11.0-robust model, saturate, Test Loss 0.003, Test Error 25.320


Trained 12.0-robust model, gaussian_noise, Test Loss 0.003, Test Error 26.802
Trained 12.0-robust model, shot_noise, Test Loss 0.003, Test Error 26.182
Trained 12.0-robust model, impulse_noise, Test Loss 0.004, Test Error 29.412
Trained 12.0-robust model, defocus_blur, Test Loss 0.003, Test Error 27.060
Trained 12.0-robust model, glass_blur, Test Loss 0.004, Test Error 28.476
Trained 12.0-robust model, motion_blur, Test Loss 0.004, Test Error 30.152
Trained 12.0-robust model, zoom_blur, Test Loss 0.004, Test Error 27.574
Trained 12.0-robust model, snow, Test Loss 0.003, Test Error 28.650
Trained 12.0-robust model, frost, Test Loss 0.004, Test Error 35.326
Trained 12.0-robust model, fog, Test Loss 0.006, Test Error 46.864
Trained 12.0-robust model, brightness, Test Loss 0.003, Test Error 27.366
Trained 12.0-robust model, contrast, Test Loss 0.008, Test Error 60.766
Trained 12.0-robust model, elastic_transform, Test Loss 0.004, Test Error 28.438
Trained 12.0-robust model, pixelate, Test Loss 0.003, Test Error 25.078
Trained 12.0-robust model, jpeg_compression, Test Loss 0.003, Test Error 24.862
Trained 12.0-robust model, speckle_noise, Test Loss 0.003, Test Error 26.398
Trained 12.0-robust model, gaussian_blur, Test Loss 0.004, Test Error 28.606
Trained 12.0-robust model, spatter, Test Loss 0.003, Test Error 26.936
Trained 12.0-robust model, saturate, Test Loss 0.003, Test Error 27.112
